"month","race_eth2","educ","sex","unemprate","emprate"
2020-04-01,"NHPI.Not Latino","High School","Male",0.074179254613358,0.32450745011722
2020-05-01,"NHPI.Not Latino","High School","Male",0.117841078305634,0.271872259528519
2020-06-01,"NHPI.Not Latino","High School","Male",0.0269508564363724,0.223621664422008
2020-02-01,"NHPI.Not Latino","Some college","Male",0.0385327635794017,0.0106074758175705
2020-03-01,"NHPI.Not Latino","Some college","Male",0.12683905639728,0
2020-04-01,"NHPI.Not Latino","Some college","Male",0,0.0435716993883086
2020-05-01,"NHPI.Not Latino","Some college","Male",0.0110088353534757,0.167546770767675
2020-06-01,"NHPI.Not Latino","Some college","Male",0.0394012185760921,0.0423046714464232
2020-02-01,"White.Not Latino","< High School","Female",0.0359565862632783,0.0641121724014161
2020-03-01,"White.Not Latino","< High School","Female",0.0441635392980917,0.104145510172308
2020-04-01,"White.Not Latino","< High School","Female",0.0925500438926412,0.294309983009591
2020-05-01,"White.Not Latino","< High School","Female",0.0504230612352497,0.205843247282184
2020-06-01,"White.Not Latino","< High School","Female",0.045198491563621,0.167981287911745
2020-02-01,"White.Not Latino","Bachelors +","Female",0.0302425173843894,0.0157976554747369
2020-03-01,"White.Not Latino","Bachelors +","Female",0.0464823369956556,0.0224262692072346
2020-04-01,"White.Not Latino","Bachelors +","Female",0.0536740677658714,0.0933630081684761
2020-05-01,"White.Not Latino","Bachelors +","Female",0.0457105391133781,0.0782750790732548
2020-06-01,"White.Not Latino","Bachelors +","Female",0.0831456043150442,0.0787176963858534
2020-02-01,"White.Not Latino","High School","Female",0.0260874081281865,0.0350299134720429
2020-03-01,"White.Not Latino","High School","Female",0.0422169464815396,0.036264587856245
2020-04-01,"White.Not Latino","High School","Female",0.107408075571024,0.187329327292257
2020-05-01,"White.Not Latino","High School","Female",0.0652676877528835,0.158779567582313
2020-06-01,"White.Not Latino","High School","Female",0.0537399408030906,0.119946483987658
2020-02-01,"White.Not Latino","Some college","Female",0.0282028162747843,0.0264729596011448
2020-03-01,"White.Not Latino","Some college","Female",0.0483365619116572,0.0320853979483023
2020-04-01,"White.Not Latino","Some college","Female",0.0903128571108777,0.173373070707231
2020-05-01,"White.Not Latino","Some college","Female",0.0709431236805997,0.143676802128931
2020-06-01,"White.Not Latino","Some college","Female",0.0535086148184461,0.11147401550399
2020-02-01,"White.Not Latino",NA,"Female",0,0.0560844644767926
2020-03-01,"White.Not Latino",NA,"Female",0.0880033175379332,0.121170747951361
2020-04-01,"White.Not Latino",NA,"Female",0.054858485857793,0.397771865402497
2020-05-01,"White.Not Latino",NA,"Female",0.147708604746654,0.271610673999159
2020-06-01,"White.Not Latino",NA,"Female",0.135643768587132,0.115379061751259
2020-02-01,"White.Not Latino","< High School","Male",0.0351724530968266,0.0848603463716727
2020-03-01,"White.Not Latino","< High School","Male",0.0307064486521188,0.0777857111630709
2020-04-01,"White.Not Latino","< High School","Male",0.0964478634789224,0.213179267712671
2020-05-01,"White.Not Latino","< High School","Male",0.0595936434406367,0.165404377900261
2020-06-01,"White.Not Latino","< High School","Male",0.0345094177094404,0.145456554065779
2020-02-01,"White.Not Latino","Bachelors +","Male",0.0201740620917207,0.0226948547365899
2020-03-01,"White.Not Latino","Bachelors +","Male",0.031026844667707,0.0250945538141577
2020-04-01,"White.Not Latino","Bachelors +","Male",0.042039897209403,0.0719849772362333
2020-05-01,"White.Not Latino","Bachelors +","Male",0.0290062594249297,0.059165068502852
2020-06-01,"White.Not Latino","Bachelors +","Male",0.0360714613202339,0.0602488057146197
2020-02-01,"White.Not Latino","High School","Male",0.026985533634905,0.0473614343987184
2020-03-01,"White.Not Latino","High School","Male",0.0305159663538838,0.0525170740478603
2020-04-01,"White.Not Latino","High School","Male",0.0795744350919733,0.147568010780524
2020-05-01,"White.Not Latino","High School","Male",0.046378099297042,0.123723362645667
2020-06-01,"White.Not Latino","High School","Male",0.0431045236197012,0.0932238792507148
2020-02-01,"White.Not Latino","Some college","Male",0.0247826672332861,0.0350944309405005
2020-03-01,"White.Not Latino","Some college","Male",0.0386032348619077,0.0397178028194917
2020-04-01,"White.Not Latino","Some college","Male",0.0675514353753662,0.13821677751328
2020-05-01,"White.Not Latino","Some college","Male",0.0516651852103824,0.113772036812045
2020-06-01,"White.Not Latino","Some college","Male",0.0360141686128123,0.097847618083465
2020-02-01,"White.Not Latino",NA,"Male",0.0336280477639974,0
2020-03-01,"White.Not Latino",NA,"Male",0.0393424196692081,0.104523775370736
2020-04-01,"White.Not Latino",NA,"Male",0,0
2020-05-01,"White.Not Latino",NA,"Male",0.177478540253605,0
2020-06-01,"White.Not Latino",NA,"Male",0.0541743786038241,0.0853890749439702
