"month","race_eth2","educ","sex","unemprate","emprate","nsamp"
2020-10-01,"Latino","Bachelors +","Male",0.0198134554613638,0.0711756367807287,730
2020-02-01,"Latino","High School","Male",0.0155840544822382,0.0490475931801061,1625
2020-03-01,"Latino","High School","Male",0.0364778993116458,0.0552797941331046,1235
2020-04-01,"Latino","High School","Male",0.0729982170827542,0.18789627067869,1107
2020-05-01,"Latino","High School","Male",0.0476400324519705,0.161776310457358,1101
2020-06-01,"Latino","High School","Male",0.0235324340397665,0.14088322318947,1036
2020-07-01,"Latino","High School","Male",0.0312325179647247,0.126866821553271,1075
2020-08-01,"Latino","High School","Male",0.0326471376439537,0.119805240343317,1117
2020-09-01,"Latino","High School","Male",0.0204232502729309,0.104930999084528,1433
2020-10-01,"Latino","High School","Male",0.0162086702786233,0.0953740547485913,1606
