"month","race_eth2","stname","emprate","nsamp"
2020-06-01,"Latino","Nebraska",0.07318020852355,47
2020-02-01,"Latino","Nevada",0.0201312691111916,171
2020-03-01,"Latino","Nevada",0.0869912815082973,159
2020-04-01,"Latino","Nevada",0.412428486915382,153
2020-05-01,"Latino","Nevada",0.354355030696581,132
2020-06-01,"Latino","Nevada",0.211156376376182,131
2020-02-01,"Latino","New Jersey",0.0401540879263019,200
2020-03-01,"Latino","New Jersey",0.0648419737555516,140
2020-04-01,"Latino","New Jersey",0.321527067213276,134
2020-05-01,"Latino","New Jersey",0.227666456552439,163
2020-06-01,"Latino","New Jersey",0.15399092757534,161
2020-02-01,"Latino","New Mexico",0.0469846181286668,366
2020-03-01,"Latino","New Mexico",0.0641539407384917,307
2020-04-01,"Latino","New Mexico",0.106702182420538,330
2020-05-01,"Latino","New Mexico",0.0735999492110371,300
2020-06-01,"Latino","New Mexico",0.0884957238774614,312
2020-02-01,"Latino","New York",0.0604637010606885,414
2020-03-01,"Latino","New York",0.0546473806173973,332
2020-04-01,"Latino","New York",0.226283154920214,284
2020-05-01,"Latino","New York",0.255513887640273,283
2020-06-01,"Latino","New York",0.214725075904966,257
2020-02-01,"Latino","North Carolina",0.0388683687637387,153
2020-03-01,"Latino","North Carolina",0.07409812801744,116
2020-04-01,"Latino","North Carolina",0.236996287646577,81
2020-05-01,"Latino","North Carolina",0.181371966316308,62
2020-06-01,"Latino","North Carolina",0.107117843413295,56
2020-02-01,"Latino","Ohio",0.110611325834517,53
2020-03-01,"Latino","Ohio",0.0746936131073787,50
2020-04-01,"Latino","Ohio",0.176492789064573,41
2020-05-01,"Latino","Ohio",0.306053699523663,32
2020-06-01,"Latino","Ohio",0.219993643854601,43
2020-02-01,"Latino","Oklahoma",0.0164168386989128,115
2020-03-01,"Latino","Oklahoma",0.0402214175125489,95
2020-04-01,"Latino","Oklahoma",0.179840764228642,89
2020-05-01,"Latino","Oklahoma",0.0999968811324243,78
2020-06-01,"Latino","Oklahoma",0.0565887534223222,68
2020-02-01,"Latino","Oregon",0.0633567807975731,112
2020-03-01,"Latino","Oregon",0.041733966655463,109
2020-04-01,"Latino","Oregon",0.10726831273082,92
2020-05-01,"Latino","Oregon",0.107087496232684,78
2020-06-01,"Latino","Oregon",0.142797563068062,81
2020-02-01,"Latino","Pennsylvania",0.0632646455485777,83
2020-03-01,"Latino","Pennsylvania",0.126139437228143,82
